order_id,customer_id,order_date,delivery_time_min,status,total_amount_xaf,city,quartier,courier_id,order_hour,order_day_of_week,total_amount_xaf_clean,ecart_montant,is_problematic,month
100023,CUST10270,2024-12-25 20:59:00,45.7,late,5420.0,Douala,Deido,10,20,Wednesday,3986.0,1434.0,True,2024-12-01
100024,CUST10578,2025-03-09 00:00:00,34.4,delivered,12249.0,Douala,Bepanda,23,20,Sunday,50057.0,-37808.0,False,2025-03-01
100025,CUST10987,2025-02-24 00:00:00,34.3,delivered,66390.0,Douala,Bonabéri,4,14,Monday,1559.0,64831.0,False,2025-02-01
100026,CUST11082,2022-05-07 03:45:00,184.4,late,18000.0,Yaounde,Madagascar,41,3,Tuesday,25861.0,-7861.0,True,2022-05-01
100027,CUST10751,2023-04-10 00:00:00,39.2,delivered,16306.0,Douala,Akwa,27,10,Wednesday,21098.0,-4792.0,False,2023-04-01
100028,CUST11953,2024-01-07 22:29:00,82.6,late,120000.0,Douala,Mboppi,6,22,Monday,34613.0,85387.0,True,2024-01-01
100029,CUST17215,2024-03-25 00:00:00,33.5,delivered,7044.0,Bafoussam,Centre Ville,15,14,Monday,3450.0,3594.0,False,2024-03-01
100030,CUST11133,2024-12-10 12:32:00,109.3,late,11024.0,Douala,Bonamoussadi,16,12,Saturday,20994.0,-9970.0,True,2024-12-01
100031,CUST11089,2023-06-09 22:40:00,32.4,delivered,5279.0,Yaounde,Ngoa-Ekele,6,22,Friday,55757.0,-50478.0,False,2023-06-01
100032,CUST11450,2023-11-04 00:00:00,28.7,delivered,8434.0,Bafoussam,Tougang,15,9,Saturday,26550.0,-18116.0,False,2023-11-01
100033,CUST11208,2024-05-15 22:55:00,24.0,delivered,50000.0,Bafoussam,Fomekoua,3,22,Wednesday,75964.0,-25964.0,False,2024-05-01
100034,CUST10931,2024-03-04 09:25:00,45.7,late,83506.0,Douala,Kotto,31,9,Monday,27885.0,55621.0,True,2024-03-01
100035,CUST12033,2022-09-20 11:35:00,45.7,delivered,8599.0,Douala,Logbessou,45,11,Tuesday,2669.0,5930.0,False,2022-09-01
100036,CUST11069,2023-08-08 00:00:00,115.7,late,71697.0,Bafoussam,Tougang,33,19,Tuesday,793.0,70904.0,True,2023-08-01
100037,CUST11643,2023-12-28 00:00:00,45.7,late,26395.0,Douala,Ndokotti,24,8,Thursday,25999.0,396.0,True,2023-12-01
100038,CUST11956,2022-03-02 10:53:00,40.7,delivered,74973.0,Bafoussam,Djeleng,22,10,Wednesday,4391.0,70582.0,False,2022-03-01
100039,CUST17118,2025-01-06 12:08:00,32.6,delivered,3344.0,Bafoussam,Tamdja,36,12,Monday,73480.0,-70136.0,False,2025-01-01
100040,CUST11976,2022-05-18 00:00:00,140.2,late,8351.0,Douala,Bonanjo,47,18,Wednesday,3334.0,5017.0,True,2022-05-01
100041,CUST17134,2023-09-28 12:14:00,45.7,in_progress,6426.0,Douala,Mboppi,32,12,Thursday,505.0,5921.0,False,2023-09-01
100042,CUST11252,2024-12-04 10:16:00,43.3,delivered,7876.0,Yaounde,Nkomo,18,10,Friday,9429.0,-1553.0,False,2024-12-01
100043,CUST10545,2025-02-13 16:55:00,31.3,delivered,9672.0,Douala,Village,36,16,Thursday,90886.0,-81214.0,False,2025-02-01
100044,CUST10982,2025-07-03 05:10:00,76.2,late,15618.0,Douala,Bonamoussadi,10,5,Friday,7202.0,8416.0,True,2025-07-01
100045,CUST11659,2025-02-01 07:08:00,68.6,delivered,37223.0,Yaounde,Nkomo,16,7,Saturday,3355.0,33868.0,False,2025-02-01
100046,CUST10314,2023-02-20 18:57:00,58.4,delivered,1905.0,Yaounde,Nkol-Eton,10,18,Monday,19342.0,-17437.0,False,2023-02-01
100047,CUST17145,2022-12-02 17:08:00,197.5,late,28940.0,Douala,Bonapriso,25,17,Saturday,26055.0,2885.0,True,2022-12-01
100048,CUST10741,2023-12-29 00:00:00,180.5,late,11593.0,Yaounde,Tsinga,21,12,Friday,10386.0,1207.0,True,2023-12-01
100049,CUST17195,2024-05-02 18:11:00,47.5,delivered,9540.0,Bafoussam,Ndiengdam,34,18,Thursday,12770.0,-3230.0,False,2024-05-01
100050,CUST12021,2023-12-14 11:01:00,24.0,delivered,50000.0,Douala,Ndogpassi,15,11,Thursday,10228.0,39772.0,False,2023-12-01
100051,CUST11611,2023-04-26 20:01:00,114.3,late,22004.0,Douala,Ndogpassi,18,20,Wednesday,8184.0,13820.0,True,2023-04-01
100052,CUST11970,2025-08-01 19:51:00,73.4,delivered,,Yaounde,Nkol-Eton,13,19,Wednesday,21461.0,,False,2025-08-01
100053,CUST10267,2025-01-16 00:00:00,24.3,delivered,4769.0,Yaounde,Bastos,22,12,Thursday,8785.0,-4016.0,False,2025-01-01
100054,CUST11576,2025-03-05 00:00:00,32.2,delivered,26264.0,Douala,Bonanjo,8,20,Wednesday,6975.0,19289.0,False,2025-03-01
100055,CUST10759,2023-10-08 15:24:00,29.9,cancelled,1835.0,Douala,Bonabéri,44,15,Sunday,38900.0,-37065.0,True,2023-10-01
100056,CUST11255,2025-01-30 19:27:00,230.2,late,21026.0,Douala,Ndokotti,30,19,Thursday,38722.0,-17696.0,True,2025-01-01
100057,CUST11725,2024-10-07 14:18:00,52.1,delivered,3489.0,Yaounde,Tsinga,38,14,Monday,8036.0,-4547.0,False,2024-10-01
100058,CUST11278,2024-07-14 00:00:00,5.0,cancelled,7892.0,Bafoussam,Tamdja,23,9,Sunday,15097.0,-7205.0,True,2024-07-01
100059,CUST17172,2023-10-13 16:46:00,8.4,cancelled,2575.0,Bafoussam,Bamendzi,41,16,Friday,14513.0,-11938.0,True,2023-10-01
100060,CUST11832,2023-06-09 00:00:00,61.7,delivered,35548.0,Yaounde,Obili,4,19,Friday,9508.0,26040.0,False,2023-06-01
100061,CUST10740,2024-02-03 18:27:00,291.1,late,9778.0,Douala,Ndog-Bong,19,18,Saturday,168086.0,-158308.0,True,2024-02-01
100062,CUST17162,2024-09-10 08:46:00,45.7,delivered,4030.0,Douala,Ndokotti,38,8,Wednesday,11962.0,-7932.0,False,2024-09-01
100063,CUST11086,2024-11-27 21:22:00,32.7,delivered,86987.0,Bafoussam,Baham-Route,27,21,Wednesday,3336.0,83651.0,False,2024-11-01
100064,CUST11642,2024-06-30 13:58:00,58.1,delivered,1808.0,Yaounde,Mvog-Mbi,26,13,Sunday,114953.0,-113145.0,False,2024-06-01
100065,CUST90687,2023-11-26 12:18:00,40.7,delivered,-477.0,Yaounde,Briqueterie,45,12,Sunday,18821.0,-19298.0,False,2023-11-01
100066,CUST17162,2024-02-02 00:00:00,33.4,delivered,195654.0,Douala,Logbessou,45,15,Friday,16274.0,179380.0,False,2024-02-01
100067,CUST11653,2023-10-31 12:32:00,45.7,delivered,36341.0,Douala,Makepe,17,12,Tuesday,21525.0,14816.0,False,2023-10-01
100068,CUST11776,2023-03-25 00:00:00,39.4,delivered,42207.0,Bafoussam,Djeleng,35,10,Saturday,118957.0,-76750.0,False,2023-03-01
100069,CUST11995,2024-04-19 14:16:00,31.4,delivered,18000.0,Bafoussam,Baham-Route,24,14,Friday,3219.0,14781.0,False,2024-04-01
100070,CUST11656,2025-01-20 09:59:00,126.7,late,6402.0,Douala,Yassa,9,9,Monday,1516.0,4886.0,True,2025-01-01
100071,CUST17340,2024-08-15 12:04:00,41.0,delivered,7338.0,Yaounde,Nlongkak,16,12,Thursday,12036.0,-4698.0,False,2024-08-01
100072,CUST10123,2024-09-02 16:17:00,42.1,delivered,47367.0,Douala,Nkolmesseng,19,16,Monday,85224.0,-37857.0,False,2024-09-01
100073,CUST10016,2023-03-21 00:00:00,45.7,delivered,4046.0,Yaounde,Mvog-Mbi,44,20,Tuesday,55068.0,-51022.0,False,2023-03-01
100074,CUST17122,2024-04-12 11:25:00,107.9,late,18000.0,Douala,Ngodi-Bakoko,12,11,Friday,20937.0,-2937.0,True,2024-04-01
100075,CUST10367,2024-04-19 18:53:00,45.7,delivered,5059.0,Douala,Nyalla,40,18,Friday,23765.0,-18706.0,False,2024-04-01
100076,CUST10123,2025-01-23 08:38:00,54.3,delivered,5372.0,Bafoussam,Bamendzi,6,8,Thursday,700.0,4672.0,False,2025-01-01
100077,CUST11718,2025-03-01 00:17:00,31.3,delivered,70762.0,Douala,Village,10,0,Friday,19334.0,51428.0,False,2025-03-01
100078,CUST17301,2024-02-27 15:54:00,45.7,delivered,7203.0,Bafoussam,Baham-Route,14,15,Tuesday,7187.0,16.0,False,2024-02-01
100079,CUST10735,2023-05-19 18:27:00,50.0,delivered,4085.0,Douala,Ndokotti,27,18,Friday,668.0,3417.0,False,2023-05-01
100080,CUST10149,2023-04-05 19:04:00,57.8,delivered,12000.0,Yaounde,Mokolo,7,19,Wednesday,1343.0,10657.0,False,2023-04-01
100081,CUST11830,2024-04-22 12:26:00,53.0,delivered,11028.0,Yaounde,Obili,18,12,Monday,17152.0,-6124.0,False,2024-04-01
100082,CUST90163,2023-11-27 16:23:00,38.2,delivered,18214.0,Douala,Ndogpassi,20,16,Monday,5953.0,12261.0,False,2023-11-01
100083,CUST10234,2024-05-29 16:07:00,55.1,delivered,8414.0,Yaounde,Nkomo,43,16,Wednesday,16055.0,-7641.0,False,2024-05-01
100084,CUST10618,2023-12-08 17:51:00,88.3,delivered,7733.0,Yaounde,Nkol-Eton,4,17,Friday,20741.0,-13008.0,False,2023-12-01
100085,CUST11648,2024-05-07 00:00:00,103.6,late,14618.0,Yaounde,Elig-Edzoa,22,16,Tuesday,41208.0,-26590.0,True,2024-05-01
100086,CUST10333,2024-09-12 19:20:00,282.5,late,72389.0,Yaounde,Madagascar,31,19,Monday,4687.0,67702.0,True,2024-09-01
100087,CUST10107,2022-12-19 13:02:00,16.1,delivered,16500.0,Bafoussam,Baham-Route,34,13,Monday,5259.0,11241.0,False,2022-12-01
100088,CUST11239,2024-05-25 20:23:00,45.7,late,31996.0,Bafoussam,Bamougoum,35,20,Saturday,26284.0,5712.0,True,2024-05-01
100089,CUST10222,2024-04-09 14:37:00,124.3,late,8849.0,Douala,Bali,11,14,Tuesday,14788.0,-5939.0,True,2024-04-01
100090,CUST10019,2025-03-01 10:06:00,6.0,cancelled,4574.0,Douala,Ndokotti,38,10,Saturday,7347.0,-2773.0,True,2025-03-01
100091,CUST10296,2022-10-24 06:07:00,36.4,delivered,24714.0,Douala,PK8,41,6,Monday,38829.0,-14115.0,False,2022-10-01
100092,CUST11130,2024-07-22 11:19:00,44.1,delivered,8640.0,Douala,Mboppi,8,11,Monday,894.0,7746.0,False,2024-07-01
100093,CUST10626,2022-04-15 06:16:00,15.3,cancelled,45971.0,Yaounde,Bastos,8,6,Friday,5347.0,40624.0,True,2022-04-01
100094,CUST11983,2023-05-29 18:22:00,45.7,delivered,3074.0,Douala,New-Bell,47,18,Monday,17450.0,-14376.0,False,2023-05-01
100095,CUST17307,2023-12-09 14:07:00,40.5,delivered,2999.0,Douala,Nkolmesseng,11,14,Saturday,1666.0,1333.0,False,2023-12-01
100096,CUST90175,2024-04-23 21:21:00,22.7,delivered,7643.0,Bafoussam,Centre Ville,2,21,Tuesday,8816.0,-1173.0,False,2024-04-01
100097,CUST17306,2024-09-02 07:50:00,69.5,delivered,3072.0,Douala,Cité des Palmiers,22,7,Friday,10123.0,-7051.0,False,2024-09-01
100098,CUST10998,2023-02-23 17:28:00,53.4,delivered,4273.0,Yaounde,Ngoa-Ekele,11,17,Thursday,4372.0,-99.0,False,2023-02-01
100099,CUST90916,2025-02-06 17:23:00,78.4,delivered,118709.0,Douala,Yassa,29,17,Thursday,27271.0,91438.0,False,2025-02-01
100100,CUST10500,2023-10-10 11:03:00,45.7,late,13426.0,Yaounde,Essos,7,11,Tuesday,1362.0,12064.0,True,2023-10-01
100101,CUST10395,2024-01-20 00:00:00,22.5,delivered,9159.0,Douala,Bepanda,3,11,Saturday,15532.0,-6373.0,False,2024-01-01
100102,CUST10918,2022-08-30 15:10:00,92.3,late,14457.0,Yaounde,Mendong,18,15,Tuesday,9421.0,5036.0,True,2022-08-01
100103,CUST17360,2025-01-06 00:00:00,50.2,delivered,2818.0,Yaounde,Ngoa-Ekele,25,12,Monday,13662.0,-10844.0,False,2025-01-01
100104,CUST10793,2023-03-23 18:38:00,88.5,delivered,16597.0,Yaounde,Nlongkak,1,18,Thursday,29370.0,-12773.0,False,2023-03-01
100105,CUST17303,2023-09-23 18:08:00,45.7,in_progress,10181.0,Douala,Makepe,34,18,Saturday,1835.0,8346.0,False,2023-09-01
100106,CUST11341,2023-11-19 17:19:00,39.0,delivered,7750.0,Bafoussam,Bamendzi,6,17,Sunday,7567.0,183.0,False,2023-11-01
100107,CUST17295,2023-07-03 00:00:00,269.2,late,120000.0,Douala,Cité des Palmiers,12,17,Tuesday,3449.0,116551.0,True,2023-07-01
100108,CUST10183,2025-02-21 00:00:00,45.7,cancelled,,Yaounde,Obili,5,8,Friday,6658.0,,True,2025-02-01
100109,CUST11112,2023-12-18 00:00:00,34.7,delivered,27071.0,Yaounde,Santa Barbara,39,10,Monday,10920.0,16151.0,False,2023-12-01
100110,CUST11560,2025-06-01 07:58:00,45.7,delivered,,Bafoussam,Djeleng,21,7,Monday,38641.0,,False,2025-06-01
100111,CUST17157,2023-04-26 23:55:00,22.6,delivered,9492.0,Douala,Ndogpassi,30,23,Wednesday,24874.0,-15382.0,False,2023-04-01
100112,CUST11223,2025-02-28 07:05:00,78.9,delivered,30958.0,Douala,New-Bell,24,7,Friday,13578.0,17380.0,False,2025-02-01
100113,CUST11986,2024-11-04 20:57:00,37.0,delivered,36882.0,Yaounde,Mokolo,42,20,Thursday,25000.0,11882.0,False,2024-11-01
100114,CUST10655,2025-01-11 00:00:00,170.0,late,18000.0,Yaounde,Elig-Edzoa,9,10,Saturday,6065.0,11935.0,True,2025-01-01
100115,CUST11849,2023-12-22 00:00:00,45.7,cancelled,34396.0,Douala,Village,43,12,Friday,51941.0,-17545.0,True,2023-12-01
100116,CUST11279,2024-12-31 16:03:00,75.3,late,33209.0,Bafoussam,Centre Ville,47,16,Tuesday,23476.0,9733.0,True,2024-12-01
100117,CUST11793,2024-11-22 00:00:00,45.7,late,45000.0,Yaounde,Elig-Edzoa,11,21,Friday,1172.0,43828.0,True,2024-11-01
100118,CUST11734,2022-07-12 09:50:00,121.0,late,25862.0,Douala,Cité des Palmiers,4,9,Wednesday,5216.0,20646.0,True,2022-07-01
100119,CUST10570,2024-03-13 19:34:00,54.0,delivered,5763.0,Yaounde,Mokolo,33,19,Wednesday,1486.0,4277.0,False,2024-03-01
100120,CUST17189,2024-12-31 15:12:00,30.7,delivered,31014.0,Yaounde,Mokolo,40,15,Tuesday,20959.0,10055.0,False,2024-12-01
100121,CUST11335,2023-01-23 15:23:00,27.6,delivered,20357.0,Douala,Bali,41,15,Monday,41825.0,-21468.0,False,2023-01-01
100122,CUST10259,2024-02-13 16:59:00,39.7,delivered,45000.0,Yaounde,Omnisport,20,16,Tuesday,20866.0,24134.0,False,2024-02-01
100123,CUST11109,2022-08-08 00:00:00,31.5,delivered,14714.0,Douala,Makepe,45,12,Monday,6507.0,8207.0,False,2022-08-01
100124,CUST12025,2025-02-21 13:01:00,42.0,delivered,38851.0,Yaounde,Biyem-Assi,28,13,Friday,20565.0,18286.0,False,2025-02-01
100125,CUST11385,2025-01-02 19:37:00,59.3,delivered,16765.0,Douala,Nyalla,15,19,Saturday,4215.0,12550.0,False,2025-01-01
100126,CUST10728,2024-06-18 11:49:00,103.1,late,21537.0,Bafoussam,Kamkop,22,11,Tuesday,11471.0,10066.0,True,2024-06-01
100127,CUST11805,2023-08-24 00:00:00,23.1,delivered,37347.0,Douala,Bali,22,11,Thursday,8393.0,28954.0,False,2023-08-01
100128,CUST11090,2024-11-21 20:19:00,63.6,late,34679.0,Bafoussam,Ngouache,3,20,Thursday,3142.0,31537.0,True,2024-11-01
100129,CUST11633,2022-09-11 11:47:00,45.7,in_progress,10225.0,Yaounde,Jouvence,42,11,Wednesday,96266.0,-86041.0,False,2022-09-01
100130,CUST10727,2024-06-06 00:00:00,47.2,delivered,348388.0,Douala,Ngodi-Bakoko,27,8,Thursday,54916.0,293472.0,False,2024-06-01
100131,CUST17184,2024-05-13 00:00:00,7.6,cancelled,15529.0,Douala,Beedi,5,2,Monday,10665.0,4864.0,True,2024-05-01
100132,CUST11469,2025-04-01 20:28:00,33.2,delivered,11837.0,Bafoussam,Baham-Route,27,20,Saturday,13969.0,-2132.0,False,2025-04-01
100133,CUST11843,2022-08-09 10:36:00,45.7,cancelled,2937.0,Bafoussam,Pefura,46,10,Thursday,8628.0,-5691.0,True,2022-08-01
100134,CUST10897,2024-12-12 19:00:00,59.0,delivered,4733.0,Douala,Nyalla,47,19,Thursday,27234.0,-22501.0,False,2024-12-01
100135,CUST11418,2024-09-02 00:00:00,89.2,late,17626.0,Douala,Cité des Palmiers,21,6,Monday,2887.0,14739.0,True,2024-09-01
100136,CUST10144,2022-11-11 10:34:00,45.0,delivered,32059.0,Yaounde,Mendong,33,10,Friday,30089.0,1970.0,False,2022-11-01
100137,CUST11671,2024-02-09 21:19:00,37.0,delivered,41079.0,Douala,Akwa,43,21,Monday,8718.0,32361.0,False,2024-02-01
100138,CUST11063,2024-12-13 18:47:00,50.8,delivered,6271.0,Yaounde,Madagascar,33,18,Friday,27374.0,-21103.0,False,2024-12-01
100139,CUST11655,2024-04-11 20:18:00,51.2,delivered,53356.0,Yaounde,Ngoa-Ekele,30,20,Monday,20419.0,32937.0,False,2024-04-01
100140,CUST11829,2023-05-24 19:08:00,45.5,delivered,4632.0,Bafoussam,Fomekoua,38,19,Wednesday,13154.0,-8522.0,False,2023-05-01
100141,CUST11731,2024-10-19 00:00:00,229.0,late,45000.0,Yaounde,Nkol-Eton,47,18,Saturday,33517.0,11483.0,True,2024-10-01
100142,CUST11156,2023-11-04 18:24:00,45.7,late,19175.0,Bafoussam,Lekie,15,18,Tuesday,23953.0,-4778.0,True,2023-11-01
100143,CUST11666,2025-01-28 00:00:00,100.9,late,14623.0,Yaounde,Elig-Edzoa,11,10,Tuesday,19780.0,-5157.0,True,2025-01-01
100144,CUST11245,2023-07-18 13:00:00,93.8,late,10052.0,Douala,PK12,13,13,Tuesday,17358.0,-7306.0,True,2023-07-01
100145,CUST11472,2023-12-03 11:38:00,19.6,cancelled,12357.0,Bafoussam,Centre Ville,33,11,Sunday,105434.0,-93077.0,True,2023-12-01
100146,CUST10906,2022-07-15 13:56:00,34.1,delivered,63970.0,Douala,Ndogpassi,19,13,Friday,521.0,63449.0,False,2022-07-01
100147,CUST10544,2023-09-04 00:00:00,27.3,delivered,6436.0,Douala,Bonapriso,3,10,Monday,3924.0,2512.0,False,2023-09-01
100148,CUST17327,2024-07-24 10:06:00,36.0,delivered,14053.0,Douala,Village,7,10,Wednesday,28035.0,-13982.0,False,2024-07-01
100149,CUST11709,2025-03-10 17:18:00,86.7,delivered,10910.0,Douala,Beedi,44,17,Monday,56727.0,-45817.0,False,2025-03-01
100150,CUST11483,2023-04-22 00:00:00,145.0,late,9377.0,Yaounde,Bastos,19,23,Saturday,49135.0,-39758.0,True,2023-04-01
100151,CUST10231,2024-05-20 00:00:00,45.7,delivered,202457.0,Douala,Nyalla,7,18,Monday,9943.0,192514.0,False,2024-05-01
100152,CUST10071,2023-07-15 17:45:00,192.9,late,5570.0,Yaounde,Tsinga,33,17,Saturday,6097.0,-527.0,True,2023-07-01
100153,CUST10040,2024-12-28 09:48:00,45.2,delivered,7145.0,Yaounde,Essos,45,9,Saturday,11401.0,-4256.0,False,2024-12-01
100154,CUST11466,2024-05-08 22:20:00,45.7,delivered,38065.0,Douala,New-Bell,7,22,Wednesday,4649.0,33416.0,False,2024-05-01
100155,CUST12061,2024-02-12 13:47:00,30.8,delivered,50000.0,Bafoussam,Tougang,14,13,Monday,18267.0,31733.0,False,2024-02-01
100156,CUST10353,2023-06-23 11:40:00,25.8,delivered,10240.0,Yaounde,Madagascar,24,11,Friday,20071.0,-9831.0,False,2023-06-01
100157,CUST10499,2024-04-10 15:40:00,11.0,cancelled,12158.0,Douala,Nkolmesseng,8,15,Wednesday,4612.0,7546.0,True,2024-04-01
100158,CUST10736,2023-03-14 23:40:00,97.8,late,4966.0,Douala,Bonapriso,34,23,Tuesday,11514.0,-6548.0,True,2023-03-01
100159,CUST10101,2023-02-26 22:14:00,45.7,delivered,12783.0,Yaounde,Etoudi,5,22,Sunday,7314.0,5469.0,False,2023-02-01
100160,CUST11178,2025-03-03 07:14:00,44.9,delivered,5327.0,Douala,Village,33,7,Monday,39545.0,-34218.0,False,2025-03-01
100161,CUST10157,2023-06-09 09:34:00,104.6,late,149796.0,Yaounde,Mokolo,34,9,Wednesday,4228.0,145568.0,True,2023-06-01
100162,CUST10377,2024-09-26 16:24:00,25.4,delivered,361084.0,Douala,Bepanda,33,16,Thursday,4648.0,356436.0,False,2024-09-01
100163,CUST10333,2024-06-30 10:06:00,19.4,delivered,8318.0,Bafoussam,Lekie,5,10,Sunday,5398.0,2920.0,False,2024-06-01
100164,CUST10291,2023-06-12 20:22:00,43.3,delivered,50000.0,Yaounde,Bastos,4,20,Monday,7225.0,42775.0,False,2023-06-01
100165,CUST10663,2024-05-25 15:40:00,29.3,delivered,272409.0,Bafoussam,Mossap,15,15,Saturday,24846.0,247563.0,False,2024-05-01
100166,CUST11977,2022-08-13 10:33:00,40.2,delivered,16163.0,Douala,Logbessou,34,10,Saturday,4649.0,11514.0,False,2022-08-01
100167,CUST10062,2024-10-13 00:00:00,106.9,late,11760.0,Yaounde,Nkomo,36,16,Sunday,40606.0,-28846.0,True,2024-10-01
100168,CUST10275,2023-12-05 20:43:00,25.0,delivered,3659.0,Douala,PK12,3,20,Tuesday,10195.0,-6536.0,False,2023-12-01
100169,CUST10124,2025-01-10 11:03:00,25.5,delivered,9234.0,Bafoussam,Pefura,19,11,Friday,2588.0,6646.0,False,2025-01-01
100170,CUST12079,2023-08-04 18:48:00,18.4,cancelled,4310.0,Yaounde,Nkol-Eton,9,18,Friday,28509.0,-24199.0,True,2023-08-01
100171,CUST11777,2023-05-01 00:00:00,45.7,delivered,16010.0,Douala,Bonabéri,31,15,Monday,2374.0,13636.0,False,2023-05-01
100172,CUST11250,2024-09-19 05:45:00,50.0,delivered,54600.0,Douala,Beedi,19,5,Thursday,17594.0,37006.0,False,2024-09-01
100173,CUST10509,2024-03-06 11:56:00,38.0,delivered,9995.0,Douala,Village,35,11,Monday,23817.0,-13822.0,False,2024-03-01
100174,CUST10545,2023-12-10 00:00:00,49.4,delivered,2601.0,Douala,Makepe,43,9,Sunday,21784.0,-19183.0,False,2023-12-01
100175,CUST10347,2023-07-17 07:21:00,242.2,late,26884.0,Douala,Bonamoussadi,26,7,Monday,150670.0,-123786.0,True,2023-07-01
100176,CUST10028,2025-02-25 19:31:00,224.6,late,9254.0,Douala,PK8,40,19,Tuesday,24012.0,-14758.0,True,2025-02-01
100177,CUST10289,2022-10-04 14:28:00,44.5,delivered,4436.0,Douala,New-Bell,7,14,Tuesday,16122.0,-11686.0,False,2022-10-01
100178,CUST90829,2022-05-03 00:00:00,74.9,delivered,5940.0,Douala,Cité des Palmiers,37,17,Tuesday,12050.0,-6110.0,False,2022-05-01
100179,CUST10571,2023-04-07 11:54:00,24.2,delivered,25586.0,Bafoussam,Ndiengdam,8,11,Friday,8850.0,16736.0,False,2023-04-01
100180,CUST10166,2024-04-12 18:04:00,61.4,delivered,27717.0,Douala,Mboppi,30,18,Wednesday,70589.0,-42872.0,False,2024-04-01
100181,CUST11837,2024-12-21 16:31:00,7.7,cancelled,33996.0,Yaounde,Tsinga,24,16,Saturday,3373.0,30623.0,True,2024-12-01
100182,CUST10326,2022-11-03 19:38:00,74.2,delivered,55698.0,Yaounde,Nkomo,14,19,Friday,4710.0,50988.0,False,2022-11-01
100183,CUST11535,2024-04-14 00:00:00,63.0,delivered,12000.0,Douala,Bepanda,43,19,Sunday,508.0,11492.0,False,2024-04-01
100184,CUST10218,2023-07-18 17:37:00,45.7,delivered,,Douala,Ndokotti,45,17,Tuesday,15604.0,,False,2023-07-01
100185,CUST10121,2024-05-25 23:28:00,45.7,in_progress,,Douala,Ndokotti,21,23,Saturday,43093.0,,False,2024-05-01
